Team Name,Games Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Year
Lyon,38,25,9,4,73,31,+42,84,2005
Bordeaux,38,18,15,5,43,25,+18,69,2005
Lille,38,16,14,8,56,31,+25,62,2005
Lens,38,14,18,6,48,34,+14,60,2005
Marseille,38,16,12,10,44,35,+9,60,2005
AJ Auxerre,38,17,8,13,50,39,+11,59,2005
Stade Rennais,38,18,5,15,48,49,-1,59,2005
Nice,38,16,10,12,36,31,+5,58,2005
Paris Saint-Germain,38,13,13,12,44,38,+6,52,2005
AS Monaco,38,13,13,12,42,36,+6,52,2005
Le Mans,38,13,13,12,33,36,-3,52,2005
AS Nancy Lorraine,38,12,12,14,35,37,-2,48,2005
Saint-Etienne,38,11,14,13,29,39,-10,47,2005
Nantes,38,11,12,15,37,41,-4,45,2005
Sochaux,38,11,11,16,34,47,-13,44,2005
Toulouse,38,10,11,17,36,47,-11,41,2005
Troyes,38,9,12,17,37,47,-10,39,2005
AC Ajaccio,38,8,9,21,27,53,-26,33,2005
Strasbourg,38,5,14,19,33,56,-23,29,2005
Metz,38,6,11,21,26,59,-33,29,2005
Lyon,38,24,9,5,64,27,+37,81,2006
Marseille,38,19,7,12,53,38,+15,64,2006
Toulouse,38,17,7,14,44,43,+1,58,2006
Stade Rennais,38,14,15,9,38,30,+8,57,2006
Lens,38,15,12,11,47,41,+6,57,2006
Bordeaux,38,16,9,13,39,35,+4,57,2006
Sochaux,38,15,12,11,46,48,-2,57,2006
AJ Auxerre,38,13,15,10,41,41,0,54,2006
AS Monaco,38,13,12,13,45,38,+7,51,2006
Lille,38,13,11,14,45,43,+2,50,2006
Saint-Etienne,38,14,7,17,52,50,+2,49,2006
Le Mans,38,11,16,11,45,46,-1,49,2006
AS Nancy Lorraine,38,13,10,15,37,44,-7,49,2006
Lorient,38,12,13,13,33,40,-7,49,2006
Paris Saint-Germain,38,12,12,14,42,42,0,48,2006
Nice,38,9,16,13,34,40,-6,43,2006
Valenciennes,38,11,10,17,36,48,-12,43,2006
Troyes,38,9,12,17,39,54,-15,39,2006
Sedan,38,7,14,17,46,58,-12,35,2006
Nantes,38,7,13,18,29,49,-20,34,2006
Lyon,38,24,7,7,74,37,+37,79,2007
Bordeaux,38,22,9,7,65,38,+27,75,2007
Marseille,38,17,11,10,58,45,+13,62,2007
AS Nancy Lorraine,38,15,15,8,44,30,+14,60,2007
Saint-Etienne,38,16,10,12,47,34,+13,58,2007
Stade Rennais,38,16,10,12,47,44,+3,58,2007
Lille,38,13,18,7,45,32,+13,57,2007
Nice,38,13,16,9,35,30,+5,55,2007
Le Mans,38,14,11,13,46,49,-3,53,2007
Lorient,38,12,16,10,32,35,-3,52,2007
Caen,38,13,12,13,48,53,-5,51,2007
AS Monaco,38,13,8,17,40,48,-8,47,2007
Valenciennes,38,12,9,17,42,40,+2,45,2007
Sochaux,38,10,14,14,34,43,-9,44,2007
AJ Auxerre,38,12,8,18,33,52,-19,44,2007
Paris Saint-Germain,38,10,13,15,37,45,-8,43,2007
Toulouse,38,9,15,14,36,42,-6,42,2007
Lens,38,9,13,16,43,52,-9,40,2007
Strasbourg,38,9,8,21,34,55,-21,35,2007
Metz,38,5,9,24,28,64,-36,24,2007
Bordeaux,38,24,8,6,64,34,+30,80,2008
Marseille,38,22,11,5,67,35,+32,77,2008
Lyon,38,20,11,7,52,29,+23,71,2008
Toulouse,38,16,16,6,45,27,+18,64,2008
Lille,38,17,13,8,51,39,+12,64,2008
Paris Saint-Germain,38,19,7,12,49,38,+11,64,2008
Stade Rennais,38,15,16,7,42,34,+8,61,2008
AJ Auxerre,38,16,7,15,35,35,0,55,2008
Nice,38,13,11,14,40,41,-1,50,2008
Lorient,38,10,15,13,47,47,0,45,2008
AS Monaco,38,11,12,15,41,45,-4,45,2008
Valenciennes,38,10,14,14,35,42,-7,44,2008
Grenoble,38,10,14,14,24,37,-13,44,2008
Sochaux,38,10,12,16,40,48,-8,42,2008
AS Nancy Lorraine,38,10,12,16,38,47,-9,42,2008
Le Mans,38,10,10,18,43,54,-11,40,2008
Saint-Etienne,38,11,7,20,40,56,-16,40,2008
Caen,38,8,13,17,42,49,-7,37,2008
Nantes,38,9,10,19,33,54,-21,37,2008
Le Havre AC,38,7,5,26,30,67,-37,26,2008
Marseille,38,23,9,6,69,36,+33,78,2009
Lyon,38,20,12,6,64,38,+26,72,2009
AJ Auxerre,38,20,11,7,42,29,+13,71,2009
Lille,38,21,7,10,72,40,+32,70,2009
Montpellier,38,20,9,9,50,40,+10,69,2009
Bordeaux,38,19,7,12,58,40,+18,64,2009
Lorient,38,16,10,12,54,42,+12,58,2009
AS Monaco,38,15,10,13,39,45,-6,55,2009
Stade Rennais,38,14,11,13,52,41,+11,53,2009
Valenciennes,38,14,10,14,50,50,0,52,2009
Lens,38,12,12,14,40,44,-4,48,2009
AS Nancy Lorraine,38,13,9,16,46,53,-7,48,2009
Paris Saint-Germain,38,12,11,15,50,46,+4,47,2009
Toulouse,38,12,11,15,36,36,0,47,2009
Nice,38,11,11,16,41,57,-16,44,2009
Sochaux,38,11,8,19,28,52,-24,41,2009
Saint-Etienne,38,10,10,18,27,45,-18,40,2009
Le Mans,38,8,8,22,36,59,-23,32,2009
Boulogne,38,7,10,21,31,62,-31,31,2009
Grenoble,38,5,8,25,31,61,-30,23,2009
Lille,38,21,13,4,68,36,+32,76,2010
Marseille,38,18,14,6,62,39,+23,68,2010
Lyon,38,17,13,8,61,40,+21,64,2010
Paris Saint-Germain,38,15,15,8,56,41,+15,60,2010
Sochaux,38,17,7,14,60,43,+17,58,2010
Stade Rennais,38,15,11,12,38,35,+3,56,2010
Bordeaux,38,12,15,11,43,42,+1,51,2010
Toulouse,38,14,8,16,38,36,+2,50,2010
AJ Auxerre,38,10,19,9,45,41,+4,49,2010
Saint-Etienne,38,12,13,13,46,47,-1,49,2010
Lorient,38,12,13,13,46,48,-2,49,2010
Valenciennes,38,10,18,10,45,41,+4,48,2010
AS Nancy Lorraine,38,13,9,16,43,48,-5,48,2010
Montpellier,38,12,11,15,32,43,-11,47,2010
Caen,38,11,13,14,46,51,-5,46,2010
Brest,38,11,13,14,36,43,-7,46,2010
Nice,38,11,13,14,33,48,-15,46,2010
AS Monaco,38,9,17,12,36,40,-4,44,2010
Lens,38,7,14,17,35,58,-23,35,2010
Arles,38,3,11,24,21,70,-49,20,2010
Montpellier,38,25,7,6,68,34,+34,82,2011
Paris Saint-Germain,38,23,10,5,75,41,+34,79,2011
Lille,38,21,11,6,72,39,+33,74,2011
Lyon,38,19,7,12,64,51,+13,64,2011
Bordeaux,38,16,13,9,53,41,+12,61,2011
Stade Rennais,38,17,9,12,53,44,+9,60,2011
Saint-Etienne,38,16,9,13,49,45,+4,57,2011
Toulouse,38,15,11,12,37,34,+3,56,2011
Evian Thonon Gaillard,38,13,11,14,54,55,-1,50,2011
Marseille,38,12,12,14,45,41,+4,48,2011
AS Nancy Lorraine,38,11,12,15,38,48,-10,45,2011
Valenciennes,38,12,7,19,40,50,-10,43,2011
Nice,38,10,12,16,39,46,-7,42,2011
Sochaux,38,11,9,18,40,60,-20,42,2011
Brest,38,8,17,13,31,38,-7,41,2011
AC Ajaccio,38,9,14,15,40,61,-21,41,2011
Lorient,38,9,12,17,35,49,-14,39,2011
Caen,38,9,11,18,39,59,-20,38,2011
Dijon FCO,38,9,9,20,38,63,-25,36,2011
AJ Auxerre,38,7,13,18,46,57,-11,34,2011
Paris Saint-Germain,38,25,8,5,69,23,+46,83,2012
Marseille,38,21,8,9,42,36,+6,71,2012
Lyon,38,19,10,9,61,38,+23,67,2012
Nice,38,18,10,10,57,46,+11,64,2012
Saint-Etienne,38,16,15,7,60,32,+28,63,2012
Lille,38,16,14,8,59,40,+19,62,2012
Bordeaux,38,13,16,9,40,34,+6,55,2012
Lorient,38,14,11,13,57,58,-1,53,2012
Montpellier,38,15,7,16,54,51,+3,52,2012
Toulouse,38,13,12,13,49,47,+2,51,2012
Valenciennes,38,12,12,14,49,53,-4,48,2012
Bastia,38,13,8,17,50,66,-16,47,2012
Stade Rennais,38,13,7,18,48,59,-11,46,2012
Stade de Reims,38,10,13,15,33,42,-9,43,2012
Sochaux,38,10,11,17,41,57,-16,41,2012
Evian Thonon Gaillard,38,10,10,18,46,53,-7,40,2012
AC Ajaccio,38,9,15,14,39,51,-12,40,2012
AS Nancy Lorraine,38,9,11,18,38,58,-20,38,2012
Troyes,38,8,13,17,43,61,-18,37,2012
Brest,38,8,5,25,32,62,-30,29,2012
Paris Saint-Germain,38,27,8,3,84,23,+61,89,2013
AS Monaco,38,23,11,4,63,31,+32,80,2013
Lille,38,20,11,7,46,26,+20,71,2013
Saint-Etienne,38,20,9,9,56,34,+22,69,2013
Lyon,38,17,10,11,56,44,+12,61,2013
Marseille,38,16,12,10,53,40,+13,60,2013
Bordeaux,38,13,14,11,49,43,+6,53,2013
Lorient,38,13,10,15,48,53,-5,49,2013
Toulouse,38,12,13,13,46,53,-7,49,2013
Bastia,38,13,10,15,42,56,-14,49,2013
Stade de Reims,38,12,12,14,44,52,-8,48,2013
Stade Rennais,38,11,13,14,47,45,+2,46,2013
Nantes,38,12,10,16,38,43,-5,46,2013
Evian Thonon Gaillard,38,11,11,16,39,51,-12,44,2013
Montpellier,38,8,18,12,45,53,-8,42,2013
Guingamp,38,11,9,18,34,42,-8,42,2013
Nice,38,12,6,20,30,44,-14,42,2013
Sochaux,38,10,10,18,37,61,-24,40,2013
Valenciennes,38,7,8,23,37,65,-28,29,2013
AC Ajaccio,38,4,11,23,37,72,-35,23,2013
Paris Saint-Germain,38,24,11,3,83,36,+47,83,2014
Lyon,38,22,9,7,72,33,+39,75,2014
AS Monaco,38,20,11,7,51,26,+25,71,2014
Marseille,38,21,6,11,76,42,+34,69,2014
Saint-Etienne,38,19,12,7,51,30,+21,69,2014
Bordeaux,38,17,12,9,47,44,+3,63,2014
Montpellier,38,16,8,14,46,39,+7,56,2014
Lille,38,16,8,14,43,42,+1,56,2014
Stade Rennais,38,13,11,14,35,42,-7,50,2014
Guingamp,38,15,4,19,41,55,-14,49,2014
Nice,38,13,9,16,44,53,-9,48,2014
Bastia,38,12,11,15,37,46,-9,47,2014
Caen,38,12,10,16,54,55,-1,46,2014
Nantes,38,11,12,15,29,40,-11,45,2014
Stade de Reims,38,12,8,18,47,66,-19,44,2014
Lorient,38,12,7,19,44,50,-6,43,2014
Toulouse,38,12,6,20,43,64,-21,42,2014
Evian Thonon Gaillard,38,11,4,23,41,62,-21,37,2014
Metz,38,7,9,22,31,61,-30,30,2014
Lens,38,7,8,23,32,61,-29,29,2014
Paris Saint-Germain,38,30,6,2,102,19,+83,96,2015
Lyon,38,19,8,11,67,43,+24,65,2015
AS Monaco,38,17,14,7,57,50,+7,65,2015
Nice,38,18,9,11,58,41,+17,63,2015
Lille,38,15,15,8,39,27,+12,60,2015
Saint-Etienne,38,17,7,14,42,37,+5,58,2015
Caen,38,16,6,16,39,52,-13,54,2015
Stade Rennais,38,13,13,12,52,54,-2,52,2015
Angers,38,13,11,14,40,38,+2,50,2015
Bastia,38,14,8,16,36,42,-6,50,2015
Bordeaux,38,12,14,12,50,57,-7,50,2015
Montpellier,38,14,7,17,49,47,+2,49,2015
Marseille,38,10,18,10,48,42,+6,48,2015
Nantes,38,12,12,14,33,44,-11,48,2015
Lorient,38,11,13,14,47,58,-11,46,2015
Guingamp,38,11,11,16,47,56,-9,44,2015
Toulouse,38,9,13,16,45,55,-10,40,2015
Stade de Reims,38,10,9,19,44,57,-13,39,2015
GFC Ajaccio,38,8,13,17,37,58,-21,37,2015
Troyes,38,3,9,26,28,83,-55,18,2015
AS Monaco,38,30,5,3,107,31,+76,95,2016
Paris Saint-Germain,38,27,6,5,83,27,+56,87,2016
Nice,38,22,12,4,63,36,+27,78,2016
Lyon,38,21,4,13,77,48,+29,67,2016
Marseille,38,17,11,10,57,41,+16,62,2016
Bordeaux,38,15,14,9,53,43,+10,59,2016
Nantes,38,14,9,15,40,54,-14,51,2016
Saint-Etienne,38,12,14,12,41,42,-1,50,2016
Stade Rennais,38,12,14,12,36,42,-6,50,2016
Guingamp,38,14,8,16,46,53,-7,50,2016
Lille,38,13,7,18,40,47,-7,46,2016
Angers,38,13,7,18,40,49,-9,46,2016
Toulouse,38,10,14,14,37,41,-4,44,2016
Metz,38,11,10,17,39,72,-33,43,2016
Montpellier,38,10,9,19,48,66,-18,39,2016
Dijon FCO,38,8,13,17,46,58,-12,37,2016
Caen,38,10,7,21,36,65,-29,37,2016
Lorient,38,10,6,22,44,70,-26,36,2016
AS Nancy Lorraine,38,9,8,21,29,52,-23,35,2016
Bastia,38,8,10,20,29,54,-25,34,2016
Paris Saint-Germain,38,29,6,3,108,29,+79,93,2017
AS Monaco,38,24,8,6,85,45,+40,80,2017
Lyon,38,23,9,6,87,43,+44,78,2017
Marseille,38,22,11,5,80,47,+33,77,2017
Stade Rennais,38,16,10,12,50,44,+6,58,2017
Bordeaux,38,16,7,15,53,48,+5,55,2017
Saint-Etienne,38,15,10,13,47,50,-3,55,2017
Nice,38,15,9,14,53,52,+1,54,2017
Nantes,38,14,10,14,36,41,-5,52,2017
Montpellier,38,11,18,9,36,33,+3,51,2017
Dijon FCO,38,13,9,16,55,73,-18,48,2017
Guingamp,38,12,11,15,48,59,-11,47,2017
SC Amiens,38,12,9,17,37,42,-5,45,2017
Angers,38,9,14,15,42,52,-10,41,2017
Strasbourg,38,9,11,18,44,67,-23,38,2017
Caen,38,10,8,20,27,52,-25,38,2017
Lille,38,10,8,20,41,67,-26,38,2017
Toulouse,38,9,10,19,38,54,-16,37,2017
Troyes,38,9,6,23,32,59,-27,33,2017
Metz,38,6,8,24,34,76,-42,26,2017
Paris Saint-Germain,38,29,4,5,105,35,+70,91,2018
Lille,38,22,9,7,68,33,+35,75,2018
Lyon,38,21,9,8,70,47,+23,72,2018
Saint-Etienne,38,19,9,10,59,41,+18,66,2018
Marseille,38,18,7,13,60,52,+8,61,2018
Montpellier,38,15,14,9,53,42,+11,59,2018
Nice,38,15,11,12,30,35,-5,56,2018
Stade de Reims,38,13,16,9,39,42,-3,55,2018
Nimes,38,15,8,15,57,58,-1,53,2018
Stade Rennais,38,13,13,12,55,52,+3,52,2018
Strasbourg,38,11,16,11,58,48,+10,49,2018
Nantes,38,13,9,16,48,48,0,48,2018
Angers,38,10,16,12,44,49,-5,46,2018
Bordeaux,38,10,11,17,34,42,-8,41,2018
SC Amiens,38,9,11,18,31,52,-21,38,2018
Toulouse,38,8,14,16,35,57,-22,38,2018
AS Monaco,38,8,12,18,38,57,-19,36,2018
Dijon FCO,38,9,7,22,31,60,-29,34,2018
Caen,38,7,12,19,29,54,-25,33,2018
Guingamp,38,5,12,21,28,68,-40,27,2018
Paris Saint-Germain,27,22,2,3,75,24,+51,68,2019
Marseille,28,16,8,4,41,29,+12,56,2019
Stade Rennais,28,15,5,8,38,24,+14,50,2019
Lille,28,15,4,9,35,27,+8,49,2019
Nice,28,11,8,9,41,38,+3,41,2019
Stade de Reims,28,10,11,7,26,21,+5,41,2019
Lyon,28,11,7,10,42,27,+15,40,2019
Montpellier,28,11,7,10,35,34,+1,40,2019
AS Monaco,28,11,7,10,44,44,0,40,2019
Strasbourg,27,11,5,11,32,32,0,38,2019
Angers,28,11,6,11,28,33,-5,39,2019
Bordeaux,28,9,10,9,40,34,+6,37,2019
Nantes,28,11,4,13,28,31,-3,37,2019
Brest,28,8,10,10,34,37,-3,34,2019
Metz,28,8,10,10,27,35,-8,34,2019
Dijon FCO,28,7,9,12,27,37,-10,30,2019
Saint-Etienne,28,8,6,14,29,45,-16,30,2019
Nimes,28,7,6,15,29,44,-15,27,2019
SC Amiens,28,4,11,13,31,50,-19,23,2019
Toulouse,28,3,4,21,22,58,-36,13,2019
Lille,38,24,11,3,64,23,+41,83,2020
Paris Saint-Germain,38,26,4,8,86,28,+58,82,2020
AS Monaco,38,24,6,8,76,42,+34,78,2020
Lyon,38,22,10,6,81,43,+38,76,2020
Marseille,38,16,12,10,54,47,+7,60,2020
Stade Rennais,38,16,10,12,52,40,+12,58,2020
Lens,38,15,12,11,55,54,+1,57,2020
Montpellier,38,14,12,12,60,62,-2,54,2020
Nice,38,15,7,16,50,53,-3,52,2020
Metz,38,12,11,15,44,48,-4,47,2020
Saint-Etienne,38,12,10,16,42,54,-12,46,2020
Bordeaux,38,13,6,19,42,56,-14,45,2020
Angers,38,12,8,18,40,58,-18,44,2020
Stade de Reims,38,9,15,14,42,50,-8,42,2020
Strasbourg,38,11,9,18,49,58,-9,42,2020
Lorient,38,11,9,18,50,68,-18,42,2020
Brest,38,11,8,19,50,66,-16,41,2020
Nantes,38,9,13,16,47,55,-8,40,2020
Nimes,38,9,8,21,40,71,-31,35,2020
Dijon FCO,38,4,9,25,25,73,-48,21,2020
Paris Saint-Germain,38,26,8,4,90,36,+54,86,2021
Marseille,38,21,8,9,63,38,+25,71,2021
AS Monaco,38,20,9,9,65,40,+25,69,2021
Stade Rennais,38,20,6,12,82,40,+42,66,2021
Nice,38,20,7,11,52,36,+16,66,2021
Strasbourg,38,17,12,9,60,43,+17,63,2021
Lens,38,17,11,10,62,48,+14,62,2021
Lyon,38,17,11,10,66,51,+15,61,2021
Nantes,38,15,10,13,55,48,+7,55,2021
Lille,38,14,13,11,48,48,0,55,2021
Brest,38,13,9,16,49,57,-8,48,2021
Stade de Reims,38,11,13,14,43,44,-1,46,2021
Montpellier,38,12,7,19,49,61,-12,43,2021
Angers,38,10,11,17,44,55,-11,41,2021
Troyes,38,9,11,18,37,53,-16,38,2021
Lorient,38,8,12,18,35,63,-28,36,2021
Clermont Foot,38,9,9,20,38,69,-31,36,2021
Saint-Etienne,38,7,11,20,42,77,-35,32,2021
Metz,38,6,13,19,35,69,-34,31,2021
Bordeaux,38,6,13,19,52,91,-39,31,2021
Paris Saint-Germain,38,27,4,7,89,40,+49,85,2022
Lens,38,25,9,4,68,29,+39,84,2022
Marseille,38,22,7,9,67,40,+27,73,2022
Stade Rennais,38,21,5,12,69,39,+30,68,2022
Lille,38,19,10,9,65,44,+21,67,2022
AS Monaco,38,19,8,11,70,58,+12,65,2022
Lyon,38,18,8,12,65,47,+18,62,2022
Clermont Foot,38,17,8,13,45,49,-4,59,2022
Nice,38,15,13,10,48,37,+11,58,2022
Lorient,38,15,10,13,52,53,-1,55,2022
Stade de Reims,38,12,15,11,45,45,0,51,2022
Montpellier,38,15,5,18,65,62,+3,50,2022
Toulouse,38,13,9,16,51,57,-6,48,2022
Brest,38,11,11,16,44,54,-10,44,2022
Strasbourg,38,9,13,16,51,59,-8,40,2022
Nantes,38,7,15,16,37,55,-18,36,2022
AJ Auxerre,38,8,11,19,35,63,-28,35,2022
AC Ajaccio,38,7,5,26,23,74,-51,26,2022
Troyes,38,4,12,22,45,81,-36,24,2022
Angers,38,4,6,28,33,81,-48,18,2022
Paris Saint-Germain,34,22,10,2,81,33,+48,76,2023
AS Monaco,34,20,7,7,68,42,+26,67,2023
Brest,34,17,10,7,53,34,+19,61,2023
Lille,34,16,11,7,52,34,+18,59,2023
Nice,34,15,10,9,40,29,+11,55,2023
Lyon,34,16,5,13,49,55,-6,53,2023
Lens,34,14,9,11,45,37,+8,51,2023
Marseille,34,13,11,10,52,41,+11,50,2023
Stade de Reims,34,13,8,13,42,47,-5,47,2023
Stade Rennais,34,12,10,12,53,46,+7,46,2023
Toulouse,34,11,10,13,42,46,-4,43,2023
Montpellier,34,10,12,12,43,48,-5,41,2023
Strasbourg,34,10,9,15,38,50,-12,39,2023
Nantes,34,9,6,19,30,55,-25,33,2023
Le Havre AC,34,7,11,16,34,45,-11,32,2023
Metz,34,8,5,21,35,58,-23,29,2023
Lorient,34,7,8,19,43,66,-23,29,2023
Clermont Foot,34,5,10,19,26,60,-34,25,2023
