Standing,Team Name,Games Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Year,RTS
3,Girona,38,25,6,7,85,46,+39,81,2023,9.384294552202121
4,Atlético Madrid,38,24,4,10,70,43,+27,76,2023,7.338780439123456
5,Athletic Club,38,19,11,8,61,37,+24,68,2023,6.016888310337244
6,Real Sociedad,38,16,12,10,51,39,+12,60,2023,4.102423847957211
7,Real Betis,38,14,15,9,48,45,+3,57,2023,3.162285049467017
8,Villarreal,38,14,11,13,65,65,0,53,2023,2.632388635772544
9,Valencia,38,13,10,15,40,45,-5,49,2023,2.0379170318787443
10,Alavés,38,12,10,16,36,46,-10,46,2023,1.5801928895835184
11,Osasuna,38,12,9,17,45,56,-11,45,2023,1.4719344824846476
12,Getafe,38,10,13,15,42,54,-12,43,2023,1.3104965069863315
13,Celta Vigo,38,10,11,17,46,57,-11,41,2023,1.2364249652871038
14,Sevilla,38,10,11,17,48,54,-6,41,2023,1.4358483467850238
15,Mallorca,38,8,16,14,33,44,-11,40,2023,1.177547585987718
16,Las Palmas,38,10,10,18,33,47,-14,40,2023,1.0635913679889066
17,Rayo Vallecano,38,8,14,16,29,48,-19,38,2023,0.7862979041917988
18,Cádiz,38,6,15,17,26,55,-29,33,2023,0.3209766806966522
19,Almería,38,3,12,23,43,75,-32,21,2023,0.018992702999801905
20,Granada,38,4,9,25,38,79,-41,21,2023,0.0018992702999801904
